s,d,yaw,pitch,dyaw,dpitch,qdist
0.0000,0.0,133.983,16.822,0.0000,0.0000,0.0000
0.0010,5.0,134.266,16.928,0.2832,0.1059,0.3024
0.0020,9.9,134.282,16.909,0.0161,0.0189,0.0248
0.0030,14.8,134.298,16.847,0.0158,0.0628,0.0648
0.0040,19.7,134.313,16.785,0.0154,0.0618,0.0637
0.0050,24.6,134.328,16.724,0.0150,0.0611,0.0629
0.0060,29.4,134.343,16.674,0.0150,0.0495,0.0518
0.0070,34.2,134.359,16.640,0.0157,0.0337,0.0372
0.0080,39.0,134.376,16.595,0.0173,0.0456,0.0488
0.0090,43.8,134.396,16.558,0.0199,0.0367,0.0418
0.0100,48.5,134.420,16.506,0.0236,0.0519,0.0570
0.0110,53.2,134.448,16.443,0.0282,0.0635,0.0695
0.0120,58.0,134.481,16.394,0.0333,0.0484,0.0588
0.0130,62.7,134.520,16.359,0.0388,0.0356,0.0527
0.0140,67.3,134.564,16.317,0.0440,0.0411,0.0602
0.0150,72.0,134.614,16.261,0.0497,0.0562,0.0750
0.0160,76.7,134.670,16.207,0.0565,0.0543,0.0784
0.0170,81.3,134.736,16.175,0.0653,0.0318,0.0727
0.0180,86.0,134.813,16.139,0.0773,0.0360,0.0853
0.0190,90.6,134.906,16.094,0.0934,0.0448,0.1035
0.0200,95.3,135.020,16.067,0.1140,0.0278,0.1173
0.0210,99.9,135.159,16.032,0.1390,0.0350,0.1433
0.0220,104.6,135.327,16.001,0.1675,0.0311,0.1703
0.0230,109.2,135.525,15.970,0.1979,0.0301,0.2002
0.0240,113.9,135.753,15.921,0.2282,0.0493,0.2335
0.0250,118.5,136.010,15.876,0.2565,0.0449,0.2605
0.0260,123.2,136.291,15.844,0.2810,0.0322,0.2829
0.0270,127.9,136.591,15.819,0.3006,0.0248,0.3016
0.0280,132.6,136.906,15.792,0.3148,0.0266,0.3159
0.0290,137.3,137.230,15.765,0.3238,0.0271,0.3250
0.0300,142.0,137.558,15.740,0.3286,0.0252,0.3295
0.0310,146.8,137.889,15.715,0.3302,0.0250,0.3311
0.0320,151.5,138.219,15.692,0.3300,0.0233,0.3308
0.0330,156.3,138.548,15.668,0.3294,0.0244,0.3303
0.0340,161.1,138.877,15.650,0.3292,0.0179,0.3297
0.0350,165.9,139.207,15.641,0.3300,0.0084,0.3301
0.0360,170.8,139.539,15.629,0.3317,0.0121,0.3319
0.0370,175.7,139.873,15.615,0.3337,0.0144,0.3341
0.0380,180.6,140.208,15.604,0.3351,0.0103,0.3353
0.0390,185.6,140.542,15.598,0.3344,0.0064,0.3345
0.0400,190.5,140.872,15.573,0.3299,0.0246,0.3308
0.0410,195.6,141.192,15.522,0.3201,0.0514,0.3242
0.0420,200.6,141.496,15.478,0.3037,0.0441,0.3069
0.0430,205.7,141.776,15.464,0.2798,0.0140,0.2801
0.0440,210.8,142.024,15.472,0.2482,0.0080,0.2484
0.0450,216.0,142.234,15.464,0.2096,0.0081,0.2098
0.0460,221.2,142.399,15.436,0.1654,0.0279,0.1677
0.0470,226.5,142.516,15.399,0.1175,0.0364,0.1230
0.0480,231.8,142.585,15.355,0.0684,0.0445,0.0816
0.0490,237.2,142.606,15.316,0.0207,0.0386,0.0438
0.0500,242.6,142.582,15.270,0.0232,0.0463,0.0518
0.0510,248.1,142.521,15.241,0.0615,0.0294,0.0682
0.0520,253.6,142.428,15.233,0.0929,0.0076,0.0932
0.0530,259.2,142.311,15.223,0.1165,0.0101,0.1170
0.0540,264.8,142.179,15.212,0.1322,0.0109,0.1327
0.0550,270.5,142.039,15.206,0.1399,0.0066,0.1400
0.0560,276.3,141.900,15.193,0.1393,0.0130,0.1399
0.0570,282.1,141.770,15.172,0.1303,0.0205,0.1319
0.0580,288.0,141.657,15.154,0.1129,0.0176,0.1143
0.0590,294.0,141.570,15.085,0.0870,0.0693,0.1113
0.0600,300.0,141.517,15.034,0.0532,0.0510,0.0737
